gemeinde_cd,gemeinde_wave,pop,kat_cum
1,phase 1,1981,0-1.02
1,phase 2,1981,1.02-2.34
1,phase 3,1981,1.02-2.34
2,phase 1,12303,0-1.02
2,phase 2,12303,2.34-3.74
2,phase 3,12303,2.34-3.74
3,phase 1,5572,0-1.02
3,phase 2,5572,1.02-2.34
3,phase 3,5572,1.02-2.34
4,phase 1,3751,0-1.02
4,phase 2,3751,1.02-2.34
4,phase 3,3751,1.02-2.34
5,phase 1,3778,0-1.02
5,phase 2,3778,2.34-3.74
5,phase 3,3778,1.02-2.34
6,phase 2,1221,1.02-2.34
6,phase 3,1221,2.34-3.74
7,phase 1,2378,0-1.02
7,phase 2,2378,1.02-2.34
7,phase 3,2378,1.02-2.34
8,phase 2,645,1.02-2.34
8,phase 3,645,0-1.02
9,phase 1,5200,0-1.02
9,phase 2,5200,1.02-2.34
9,phase 3,5200,2.34-3.74
10,phase 1,5721,0-1.02
10,phase 2,5721,1.02-2.34
10,phase 3,5721,1.02-2.34
11,phase 1,2588,0-1.02
11,phase 2,2588,1.02-2.34
11,phase 3,2588,1.02-2.34
12,phase 1,1129,0-1.02
12,phase 2,1129,2.34-3.74
12,phase 3,1129,1.02-2.34
13,phase 1,3755,0-1.02
13,phase 2,3755,1.02-2.34
13,phase 3,3755,1.02-2.34
14,phase 1,5240,0-1.02
14,phase 2,5240,1.02-2.34
14,phase 3,5240,1.02-2.34
21,phase 2,698,1.02-2.34
21,phase 3,698,3.74-6.32
22,phase 1,845,0-1.02
22,phase 2,845,1.02-2.34
22,phase 3,845,2.34-3.74
23,phase 1,577,0-1.02
23,phase 2,577,2.34-3.74
23,phase 3,577,3.74-6.32
24,phase 1,979,0-1.02
24,phase 2,979,1.02-2.34
24,phase 3,979,0-1.02
25,phase 1,1916,0-1.02
25,phase 2,1916,1.02-2.34
25,phase 3,1916,0-1.02
26,phase 1,658,0-1.02
26,phase 2,658,2.34-3.74
26,phase 3,658,2.34-3.74
27,phase 1,3614,0-1.02
27,phase 2,3614,2.34-3.74
27,phase 3,3614,1.02-2.34
28,phase 1,1420,0-1.02
28,phase 2,1420,2.34-3.74
28,phase 3,1420,2.34-3.74
29,phase 1,1477,0-1.02
29,phase 2,1477,1.02-2.34
29,phase 3,1477,1.02-2.34
30,phase 1,2247,0-1.02
30,phase 2,2247,1.02-2.34
30,phase 3,2247,6.32-12.41
31,phase 1,2234,0-1.02
31,phase 2,2234,1.02-2.34
31,phase 3,2234,0-1.02
32,phase 2,485,2.34-3.74
32,phase 3,485,0-1.02
33,phase 1,2074,0-1.02
33,phase 2,2074,2.34-3.74
33,phase 3,2074,3.74-6.32
34,phase 1,1761,0-1.02
34,phase 2,1761,1.02-2.34
34,phase 3,1761,1.02-2.34
35,phase 1,1918,1.02-2.34
35,phase 2,1918,2.34-3.74
35,phase 3,1918,2.34-3.74
37,phase 1,1668,0-1.02
37,phase 2,1668,2.34-3.74
37,phase 3,1668,0-1.02
38,phase 1,1316,1.02-2.34
38,phase 2,1316,2.34-3.74
38,phase 3,1316,0-1.02
39,phase 1,938,0-1.02
39,phase 2,938,2.34-3.74
39,phase 3,938,1.02-2.34
40,phase 1,1061,0-1.02
40,phase 2,1061,1.02-2.34
40,phase 3,1061,1.02-2.34
41,phase 1,463,0-1.02
41,phase 2,463,2.34-3.74
41,phase 3,463,2.34-3.74
43,phase 1,380,0-1.02
43,phase 2,380,1.02-2.34
43,phase 3,380,1.02-2.34
51,phase 1,4180,0-1.02
51,phase 2,4180,2.34-3.74
51,phase 3,4180,2.34-3.74
52,phase 1,11824,0-1.02
52,phase 2,11824,2.34-3.74
52,phase 3,11824,1.02-2.34
53,phase 1,21372,0-1.02
53,phase 2,21372,2.34-3.74
53,phase 3,21372,2.34-3.74
54,phase 1,7847,0-1.02
54,phase 2,7847,2.34-3.74
54,phase 3,7847,2.34-3.74
55,phase 1,5339,0-1.02
55,phase 2,5339,2.34-3.74
55,phase 3,5339,1.02-2.34
56,phase 1,9421,0-1.02
56,phase 2,9421,2.34-3.74
56,phase 3,9421,3.74-6.32
57,phase 2,2389,1.02-2.34
57,phase 3,2389,2.34-3.74
58,phase 1,5217,0-1.02
58,phase 2,5217,1.02-2.34
58,phase 3,5217,1.02-2.34
59,phase 1,1982,0-1.02
59,phase 2,1982,2.34-3.74
59,phase 3,1982,1.02-2.34
60,phase 1,2872,0-1.02
60,phase 2,2872,2.34-3.74
60,phase 3,2872,2.34-3.74
61,phase 1,1057,0-1.02
61,phase 2,1057,1.02-2.34
61,phase 3,1057,1.02-2.34
62,phase 1,20130,0-1.02
62,phase 2,20130,2.34-3.74
62,phase 3,20130,2.34-3.74
63,phase 1,2417,0-1.02
63,phase 2,2417,2.34-3.74
63,phase 3,2417,2.34-3.74
64,phase 1,5602,0-1.02
64,phase 2,5602,1.02-2.34
64,phase 3,5602,1.02-2.34
65,phase 2,1121,1.02-2.34
65,phase 3,1121,2.34-3.74
66,phase 1,21014,0-1.02
66,phase 2,21014,2.34-3.74
66,phase 3,21014,3.74-6.32
67,phase 1,4661,0-1.02
67,phase 2,4661,2.34-3.74
67,phase 3,4661,2.34-3.74
68,phase 1,2885,0-1.02
68,phase 2,2885,2.34-3.74
68,phase 3,2885,2.34-3.74
